Time,X_o,Y_o,Z
302,1510,3426.44334328727,0.743564167196678
304,1520,3444.60722555276,0.771402439854889
306,1530,3462.68499281701,0.762370965221308
308,1540,3480.67619313678,0.755464129577719
310,1550,3498.58037673302,0.762097220846362
312,1560,3516.39709600205,0.751429645366658
314,1570,3534.12590552683,0.73679146507488
316,1580,3551.76636208804,0.740260665825233
318,1590,3569.31802467518,0.726879090016628
320,1600,3586.78045449761,0.745110215683777
322,1610,3604.15321499549,0.755258108649805
324,1620,3621.43587185071,0.741875672196183
326,1630,3638.62799299775,0.74278226323732
328,1640,3655.72914863448,0.751145202868332
330,1650,3672.73891123289,0.742077804780511
332,1660,3689.65685554981,0.734619286234571
334,1670,3706.48255863752,0.740358283801576
336,1680,3723.2155998543,0.752152049339494
338,1690,3739.855560875,0.73704177401165
340,1700,3756.40202570146,0.751578630435724
342,1710,3772.85458067293,0.750181762593743
344,1720,3789.21281447638,0.757384069955425
346,1730,3805.47631815683,0.747771723149307
348,1740,3821.64468512753,0.756640709592044
350,1750,3837.71751118014,0.741226393103716
352,1760,3853.69439449485,0.756443414070997
354,1770,3869.57493565041,0.750256070622226
356,1780,3885.35873763412,0.729992763257461
358,1790,3901.04540585175,0.757337967054411
360,1800,3916.63454813742,0.74472186084335
362,1810,3932.12577476337,0.735578916446752
364,1820,3947.51869844975,0.752022565004897
366,1830,3962.81293437427,0.750395036006718
368,1840,3978.00810018183,0.74901742473857
370,1850,3993.10381599407,0.740772931828041
372,1860,4008.09970441889,0.752140702691616
374,1870,4022.99539055985,0.73206907636903
376,1880,4037.79050202557,0.739067069729446
378,1890,4052.48466893905,0.76286439189901
380,1900,4067.07752394687,0.741512315297904
382,1910,4081.56870222842,0.757770611235258
384,1920,4095.95784150499,0.748073393320916
386,1930,4110.24458204886,0.739445216536566
388,1940,4124.42856669225,0.741741508445995
390,1950,4138.50944083629,0.744550314664468
392,1960,4152.48685245985,0.73968933997184
394,1970,4166.36045212838,0.7594388993891
396,1980,4180.1298930026,0.735668309446788
398,1990,4193.79483084722,0.733827301926508
400,2000,4207.35492403948,0.749003290562362
402,2010,4220.80983357778,0.748754226643116
404,2020,4234.15922309008,0.757328512867322
406,2030,4247.40275884232,0.718034831708204
408,2040,4260.54010974681,0.742492576348061
410,2050,4273.57094737047,0.747824278210123
412,2060,4286.49494594302,0.734902662065629
414,2070,4299.31178236517,0.738360504624876
416,2080,4312.02113621669,0.751120808439317
418,2090,4324.62268976439,0.750290142522292
420,2100,4337.11612797008,0.746814523773146
422,2110,4349.50113849847,0.729118416893051
424,2120,4361.77741172493,0.750249908526138
426,2130,4373.94464074327,0.746254846138244
428,2140,4386.00252137341,0.760628612995679
430,2150,4397.95075216894,0.750809674448529
432,2160,4409.78903442474,0.730689901182036
434,2170,4421.51707218435,0.750117019475808
436,2180,4433.13457224744,0.742802940944339
438,2190,4444.64124417711,0.743133158101471
440,2200,4456.03680030718,0.744086905660417
442,2210,4467.32095574932,0.741097296511701
444,2220,4478.49342840024,0.739440372764139
446,2230,4489.5539389487,0.735629112734606
448,2240,4500.50221088253,0.726304916491317
450,2250,4511.33797049548,0.750985868106985
452,2260,4522.06094689413,0.724058585119174
454,2270,4532.67087200463,0.761117525345953
456,2280,4543.16748057942,0.737227260731492
458,2290,4553.55051020381,0.741382719812834
460,2300,4563.81970130261,0.739209797913248
462,2310,4573.97479714657,0.747149011572014
464,2320,4584.01554385883,0.743384832989377
466,2330,4593.94169042125,0.729593645219556
468,2340,4603.75298868068,0.720357192141742
470,2350,4613.44919335517,0.741213716195366
472,2360,4623.0300620401,0.742184641456015
474,2370,4632.49535521427,0.758316150066689
476,2380,4641.84483624583,0.739381902291055
478,2390,4651.07827139825,0.746404817777237
480,2400,4660.19542983613,0.749861078657031
482,2410,4669.19608363098,0.72952218937028
484,2420,4678.08000776693,0.751096181003329
486,2430,4686.84698014633,0.742375865660428
488,2440,4695.49678159534,0.731700657839551
490,2450,4704.02919586936,0.742591481692431
492,2460,4712.44400965849,0.738938148369432
494,2470,4720.74101259281,0.766281010282484
496,2480,4728.91999724769,0.740961733521508
498,2490,4736.98075914894,0.750748113666362
500,2500,4744.92309677793,0.755707651432292
502,2510,4752.74681157663,0.757934968264761
504,2520,4760.45170795258,0.729255401317751
506,2530,4768.03759328377,0.737466610241028
508,2540,4775.50427792346,0.727258270850548
510,2550,4782.85157520493,0.743495457855579
512,2560,4790.07930144612,0.752880037660821
514,2570,4797.18727595427,0.7473567499011
516,2580,4804.17532103036,0.733614662901689
518,2590,4811.04326197365,0.762769901509777
520,2600,4817.79092708596,0.738465139087579
522,2610,4824.41814767603,0.75891855840952
524,2620,4830.92475806367,0.744768703504695
526,2630,4837.31059558397,0.75467246916906
528,2640,4843.57550059133,0.752724731244164
530,2650,4849.71931646344,0.777952509440303
532,2660,4855.74188960522,0.746360500909704
534,2670,4861.64306945267,0.738374189695467
536,2680,4867.4227084766,0.757887094805346
538,2690,4873.08066218632,0.742051836180675
540,2700,4878.6167891333,0.741273882626207
542,2710,4884.03095091464,0.742805806962799
