INPUT_FILE,DIMENSIONS,SEED,PARAM_SET,SAMPLING_TIME,FITNESS,SOLUTION,ELAPSED_TIME
../../data/output_uniformly_accelerated.csv,4,8,0,2,0.323705,"39353.000057310084 36796.55512763846 5.53024477301872 9.468276652831896",116.51
../../data/output_uniformly_accelerated.csv,4,9,0,2,0.349072,"39000.64508755954 36695.085713166925 5.931683511972898 9.67398363798625",112.78
../../data/output_uniformly_accelerated.csv,4,10,0,2,0.341597,"38802.81721169171 36271.3958055543 5.988816289386628 9.981164385016093",104.73
../../data/output_uniformly_accelerated.csv,6,1,0,2,0.319607,"37136.12140537654 35485.47850239027 9.63504238714466 9.53641403008797 0.0035272915631588218 0.009311386140871932",131.91
../../data/output_uniformly_accelerated.csv,6,2,0,2,0.332596,"38298.15911953422 37617.58432936149 9.027479219734058 9.457806297237685 0.0024940162684509715 0.006855697354304144",139.34
../../data/output_uniformly_accelerated.csv,6,3,0,2,0.315612,"39612.41818873276 38395.382245948 5.214759382812725 5.0029572014538 0.0037326196777094835 0.007891260117808928",131.37
../../data/output_uniformly_accelerated.csv,6,4,0,2,0.308111,"39189.388895388576 37384.31069283405 8.82470207022977 9.733371740146517 0.0015828718063036814 0.0056205581012701705",134.90
../../data/output_uniformly_accelerated.csv,6,5,0,2,0.321844,"38201.035675032734 37435.89038293646 9.774026303894122 9.211202576205359 0.003271402348371028 0.009299500169769987",131.45
../../data/output_uniformly_accelerated.csv,6,6,0,2,0.289193,"39965.52452910853 38089.93705384532 7.271498025165702 9.980104311236143 0.00015510619345301437 0.0017188570920117358",132.69
../../data/output_uniformly_accelerated.csv,6,7,0,2,0.325217,"38775.59014333814 37172.593039607396 9.222472146499252 9.589257908667012 0.003613572120915327 0.008940933763441452",129.75
../../data/output_uniformly_accelerated.csv,6,8,0,2,0.328190,"39638.40402021166 38350.01025623722 9.607294257492995 9.519112299542567 0.0036359018377640634 0.009658778576642142",133.59
../../data/output_uniformly_accelerated.csv,6,9,0,2,0.325330,"38090.872650965335 35769.83178573029 7.496066132542609 9.317647086186092 -0.0009197121671733494 0.0005310823630076972",137.52
../../data/output_uniformly_accelerated.csv,6,10,0,2,0.327200,"39103.16795465644 37586.78888819389 9.644410070710027 9.718757673169506 0.0031190542625211364 0.008858862319684918",135.23
../../data/output_uniformly_accelerated.csv,8,1,0,2,0.467770,"38414.41483794735 38157.983942029176 9.622475983894581 6.78038504785277 0.009403709571820943 0.0083165057840074 4.6557061362769556e-05 8.269548969346416e-05",156.33
../../data/output_uniformly_accelerated.csv,8,2,0,2,0.449444,"38260.301309969844 38104.33890160185 9.608218524901222 6.362152138456494 0.009696122023169019 0.009999309426107625 5.073272353403226e-05 8.857747328801879e-05",157.47
