INPUT_FILE,DIMENSIONS,SEED,SAMPLING_TIME,PARAM_SET,FITNESS,SOLUTION,ELAPSED_TIME
../../data/output_uniformly_accelerated.csv,8,5,2,0,0.445213,"39935.4 39710.1 9.71862 5.23 0.00921808 0.00977095 5.6e-05 9.8097e-05",8.74986
../../data/output_uniformly_accelerated.csv,8,6,2,0,0.466368,"39541.2 39697.5 9.65892 5.935 0.00626 0.00898853 4.9e-05 8.14e-05",9.02025
../../data/output_uniformly_accelerated.csv,8,7,2,0,0.456685,"38718.5 38799.8 9.91339 6.32 0.00885625 0.00922303 5.16e-05 9.05813e-05",9.18861
../../data/output_uniformly_accelerated.csv,8,8,2,0,0.475551,"39174.3 39738.3 9.90354 5.505 0.00971286 0.00979691 5.74e-05 9.99286e-05",9.13764
../../data/output_uniformly_accelerated.csv,8,9,2,0,0.479833,"39941.7 39856.9 9.49195 6.41 0.00953332 0.00956683 4.88e-05 8.51185e-05",8.91676
../../data/output_uniformly_accelerated.csv,8,10,2,0,0.453646,"39799 39427.6 6.425 5.235 0.00988357 0.0043 4.82e-05 8.94364e-05",9.57502
../../data/real_world_example.csv,4,1,9.846666667,1,1.23625,"-419870 4.826e+06 8.16391 2.02827",6.39307
../../data/real_world_example.csv,4,2,9.846666667,1,1.58841,"-398900 4.865e+06 7.88922 0.15",6.53882
../../data/real_world_example.csv,4,3,9.846666667,1,2.1269,"-440600 4.79275e+06 9.22 4.12",6.2461
../../data/real_world_example.csv,4,4,9.846666667,1,2.83657,"-417500 4.85557e+06 8.79 1.05",5.82294
../../data/real_world_example.csv,4,5,9.846666667,1,0.716025,"-399031 4.88495e+06 9.82332 0.7",5.5355
../../data/real_world_example.csv,4,6,9.846666667,1,0.958794,"-414673 4.86551e+06 9.37 0.59",5.73927
../../data/real_world_example.csv,4,7,9.846666667,1,0.849448,"-402666 4.86642e+06 8.45351 0.56",6.27839
../../data/real_world_example.csv,4,8,9.846666667,1,1.0222,"-428300 4.8268e+06 9.80043 2.53",5.68589
../../data/real_world_example.csv,4,9,9.846666667,1,0.520822,"-414607 4.86049e+06 9.09522 0.66",6.50443
../../data/real_world_example.csv,4,10,9.846666667,1,2.72856,"-434900 4.80134e+06 9.78016 4.55",6.30487
../../data/real_world_example.csv,6,1,9.846666667,1,0.456814,"-448400 4.75674e+06 6.91859 9.71119 0.000882828 -7.87392e-05",7.51432
../../data/real_world_example.csv,6,2,9.846666667,1,0.3746,"-432500 4.7926e+06 7.06172 7.43826 0.000672444 -0.000144791",7.75094
../../data/real_world_example.csv,6,3,9.846666667,1,0.235427,"-427400 4.80992e+06 9.22661 9.89136 0.00091504 -0.00014859",7.45391
../../data/real_world_example.csv,6,4,9.846666667,1,0.296633,"-427100 4.81227e+06 7.92508 7.85326 0.000923745 -3.44321e-05",7.23619
../../data/real_world_example.csv,6,5,9.846666667,1,0.29408,"-435200 4.79444e+06 8.38804 7.33385 0.00057796 -8.5961e-05",7.24245
../../data/real_world_example.csv,6,6,9.846666667,1,0.356922,"-428900 4.81235e+06 9.79276 9.11515 0.000777331 -8.72985e-05",6.82328
../../data/real_world_example.csv,6,7,9.846666667,1,0.417329,"-435800 4.7896e+06 7.73829 9.42156 0.00087605 -0.000172978",7.51017
